ID row col Width ALBST
L6_8518 340.7014387 600.2805049 0.0018368 0.731199987
L6_8680 343.7379934 606.2412342 -0.000829674 0.728583929
L6_8681 347.381859 600.631136 0.002996822 0.727275899
L6_8844 350.4184137 606.5918654 0.000382274 0.724659841
L6_9010 357.0988341 606.9424965 0.000997399 0.720735753
L6_9176 360.1353888 612.9032258 -0.001900816 0.718119695
L6_9177 363.7792545 607.2931276 0.002118533 0.716811665
L6_9344 366.8158092 613.2538569 -0.000792074 0.712887578
L6_9514 373.4962295 613.6044881 0.00096867 0.709617504
L6_9684 376.5327843 619.5652174 -0.001932728 0.706347431
L6_9685 380.1766499 613.9551192 0.002134915 0.705693417
L6_9857 383.2132046 619.9158485 0.000722632 0.702423344
L6_10030 386.2497593 625.8765778 -0.001888402 0.7004613
L6_10031 389.893625 620.2664797 0.002174827 0.69915327
L6_10206 392.9301797 626.227209 -0.000155456 0.695229183
L6_10383 399.6106001 626.5778401 0.003733727 0.691959109
L6_10382 395.9667344 632.1879383 -0.000124825 0.691305095
L6_10561 402.6471548 632.5385694 0.002849953 0.688035022
L6_10740 405.6837095 638.4992987 0.00038733 0.683456919
L6_10922 412.3641299 638.8499299 -0.001233096 0.679532832
L6_10923 416.0079955 633.2398317 0.001151188 0.676916773
L6_11105 419.0445502 639.200561 -0.002747383 0.674954729
L6_11106 422.6884159 633.5904628 0.000944113 0.672338671
L6_11290 425.7249706 639.5511921 -0.002981976 0.670376627
L6_11291 429.3688362 633.941094 0.000733349 0.668414583
L6_11477 432.4053909 639.9018233 -0.003216809 0.666452539
L6_11478 436.0492566 634.2917251 0.000464341 0.66383648
L6_11666 442.729677 634.6423562 0.000905349 0.659258378
L6_11855 445.7662317 640.6030856 -0.003014365 0.657296334
L6_11856 449.4100973 634.9929874 0.00071112 0.65533429
L6_12046 452.446652 640.9537167 -0.002602236 0.653372246
L6_12047 456.0905177 635.3436185 0.001084914 0.650756188
L6_12239 459.1270724 641.3043478 -0.0024841 0.647486115
L6_12240 462.7709381 635.6942496 0.001515418 0.646178085
L6_12433 465.8074928 641.654979 -0.002393723 0.644216042
L6_12434 469.4513584 636.0448808 0.001312309 0.642253998
L6_12629 472.4879131 642.0056101 -0.002639091 0.640291954
L6_12630 476.1317788 636.3955119 0.001052892 0.637675895
L6_12826 479.1683335 642.3562412 -0.002851172 0.635713851
L6_12827 482.8121992 636.7461431 0.000829188 0.633097793
L6_13025 485.8487539 642.7068724 -0.002426366 0.631135749
L6_13026 489.4926195 637.0967742 0.000677545 0.62851969
L6_13225 492.5291742 643.0575035 -0.003321984 0.626557647
L6_13226 496.1730399 637.4474053 0.00037871 0.624595603
L6_13426 499.2095946 643.4081346 -0.003539654 0.622633559
L6_13427 502.8534603 637.7980365 0.000163194 0.6200175
L6_13629 505.890015 643.7587658 -0.003767004 0.618055456
L6_13630 509.5338806 638.1486676 -0.000319979 0.615439398
L6_13834 516.214301 638.4992987 -0.000990529 0.61151531
L6_14040 522.8947214 638.8499299 -0.001865167 0.606937208
L6_14247 529.5751417 639.200561 -0.002686635 0.604321149
L6_14041 526.538587 633.2398317 0.001496239 0.603667134
L6_14248 533.2190074 633.5904628 0.000932919 0.600397061
L6_14456 536.2555621 639.5511921 -0.002981235 0.598435017
L6_14457 539.8994277 633.941094 7.62E-05 0.595818959
L6_14668 546.5798481 634.2917251 -0.000888373 0.591240857
L6_14881 553.2602685 634.6423562 -0.001736503 0.587316769
L6_14882 556.9041341 629.0322581 0.001941959 0.58470071
L6_15095 559.9406888 634.9929874 -0.001957842 0.582738666
L6_15096 563.5845545 629.3828892 0.00173306 0.580122608
L6_15311 566.6211092 635.3436185 -0.002224185 0.578814579
L6_15312 570.2649749 629.7335203 0.000245776 0.57619852
L6_15529 576.9453952 630.0841515 -0.000620747 0.572274432
L6_15747 583.6258156 630.4347826 -0.001644143 0.56769633
